[env] host=stud-000 date=Sat Nov 22 21:04:37 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_base_point_2_20251122-1307/base_point_s3_20251122-210436_284574
[model] in_dim=4768 hidden=[768, 384, 192] head=point params=4,032,001
[train] host=stud-000 device=cuda head=point epochs=200
[epoch 34] train_loss=2067.8017 val_loss=2326.0021 val_mae_orig=2327.1011 obj(val_mae_orig)=2327.1011
[epoch 35] train_loss=2048.9999 val_loss=2297.4723 val_mae_orig=2298.5857 obj(val_mae_orig)=2298.5857
[epoch 36] train_loss=2033.6011 val_loss=2329.0251 val_mae_orig=2330.1980 obj(val_mae_orig)=2330.1980
[epoch 37] train_loss=2022.8153 val_loss=2333.3917 val_mae_orig=2334.4863 obj(val_mae_orig)=2334.4863
[epoch 38] train_loss=1999.8627 val_loss=2298.5283 val_mae_orig=2299.5144 obj(val_mae_orig)=2299.5144
[epoch 39] train_loss=1990.8116 val_loss=2321.3137 val_mae_orig=2322.3804 obj(val_mae_orig)=2322.3804
[epoch 40] train_loss=1975.9746 val_loss=2293.5579 val_mae_orig=2294.7437 obj(val_mae_orig)=2294.7437
[epoch 41] train_loss=1965.4731 val_loss=2293.1901 val_mae_orig=2294.1814 obj(val_mae_orig)=2294.1814
[epoch 42] train_loss=1954.0959 val_loss=2302.2993 val_mae_orig=2303.4075 obj(val_mae_orig)=2303.4075
[epoch 43] train_loss=1944.0377 val_loss=2281.2458 val_mae_orig=2282.1892 obj(val_mae_orig)=2282.1892
[epoch 44] train_loss=1927.0951 val_loss=2317.6113 val_mae_orig=2318.5459 obj(val_mae_orig)=2318.5459
[epoch 45] train_loss=1917.9403 val_loss=2277.9465 val_mae_orig=2279.0229 obj(val_mae_orig)=2279.0229
[epoch 46] train_loss=1906.1300 val_loss=2284.6846 val_mae_orig=2285.6953 obj(val_mae_orig)=2285.6953
[epoch 47] train_loss=1890.9089 val_loss=2285.8606 val_mae_orig=2286.9404 obj(val_mae_orig)=2286.9404
[epoch 48] train_loss=1889.3261 val_loss=2269.5863 val_mae_orig=2270.5469 obj(val_mae_orig)=2270.5469
[epoch 49] train_loss=1877.0655 val_loss=2264.1818 val_mae_orig=2265.4343 obj(val_mae_orig)=2265.4343
[epoch 50] train_loss=1868.6498 val_loss=2266.0982 val_mae_orig=2267.1870 obj(val_mae_orig)=2267.1870
[epoch 51] train_loss=1861.1100 val_loss=2259.1622 val_mae_orig=2259.9683 obj(val_mae_orig)=2259.9683
[epoch 52] train_loss=1847.5777 val_loss=2271.4804 val_mae_orig=2272.2820 obj(val_mae_orig)=2272.2820
[epoch 53] train_loss=1842.1950 val_loss=2272.9700 val_mae_orig=2273.9646 obj(val_mae_orig)=2273.9646
[epoch 54] train_loss=1833.5899 val_loss=2258.4638 val_mae_orig=2259.5217 obj(val_mae_orig)=2259.5217
[epoch 55] train_loss=1827.2218 val_loss=2250.3945 val_mae_orig=2251.1865 obj(val_mae_orig)=2251.1865
[epoch 56] train_loss=1818.8511 val_loss=2309.8845 val_mae_orig=2310.8635 obj(val_mae_orig)=2310.8635
[epoch 57] train_loss=1811.1431 val_loss=2252.8654 val_mae_orig=2254.0039 obj(val_mae_orig)=2254.0039
[epoch 58] train_loss=1804.3409 val_loss=2250.7872 val_mae_orig=2251.6975 obj(val_mae_orig)=2251.6975
[epoch 59] train_loss=1793.8771 val_loss=2286.3490 val_mae_orig=2287.2224 obj(val_mae_orig)=2287.2224
[epoch 60] train_loss=1789.4508 val_loss=2253.9371 val_mae_orig=2254.9558 obj(val_mae_orig)=2254.9558
[epoch 61] train_loss=1783.0904 val_loss=2260.1071 val_mae_orig=2261.2866 obj(val_mae_orig)=2261.2866
[epoch 62] train_loss=1776.8140 val_loss=2298.7417 val_mae_orig=2299.7908 obj(val_mae_orig)=2299.7908
[epoch 63] train_loss=1772.6574 val_loss=2239.5243 val_mae_orig=2240.6619 obj(val_mae_orig)=2240.6619
[epoch 64] train_loss=1765.1071 val_loss=2252.7877 val_mae_orig=2253.7756 obj(val_mae_orig)=2253.7756
[epoch 65] train_loss=1756.7182 val_loss=2244.0795 val_mae_orig=2245.0439 obj(val_mae_orig)=2245.0439
[epoch 66] train_loss=1753.1954 val_loss=2252.0718 val_mae_orig=2252.7117 obj(val_mae_orig)=2252.7117
[epoch 67] train_loss=1753.8847 val_loss=2238.3169 val_mae_orig=2239.3772 obj(val_mae_orig)=2239.3772
[epoch 68] train_loss=1745.1677 val_loss=2247.0867 val_mae_orig=2248.0518 obj(val_mae_orig)=2248.0518
[epoch 69] train_loss=1737.4899 val_loss=2271.8718 val_mae_orig=2272.8621 obj(val_mae_orig)=2272.8621
[epoch 70] train_loss=1734.2433 val_loss=2267.8768 val_mae_orig=2268.9517 obj(val_mae_orig)=2268.9517
[epoch 71] train_loss=1725.1561 val_loss=2281.9529 val_mae_orig=2283.0076 obj(val_mae_orig)=2283.0076
[epoch 72] train_loss=1716.2526 val_loss=2261.1446 val_mae_orig=2262.0789 obj(val_mae_orig)=2262.0789
[epoch 73] train_loss=1721.7731 val_loss=2242.8703 val_mae_orig=2244.0818 obj(val_mae_orig)=2244.0818
[epoch 74] train_loss=1714.9782 val_loss=2261.7539 val_mae_orig=2262.7954 obj(val_mae_orig)=2262.7954
[epoch 75] train_loss=1702.1856 val_loss=2251.0327 val_mae_orig=2252.1455 obj(val_mae_orig)=2252.1455
[epoch 76] train_loss=1695.9665 val_loss=2240.1121 val_mae_orig=2241.2400 obj(val_mae_orig)=2241.2400
[epoch 77] train_loss=1701.4606 val_loss=2248.9503 val_mae_orig=2249.9312 obj(val_mae_orig)=2249.9312
[epoch 78] train_loss=1692.6346 val_loss=2237.0194 val_mae_orig=2238.1506 obj(val_mae_orig)=2238.1506
[epoch 79] train_loss=1682.5287 val_loss=2249.7335 val_mae_orig=2250.5320 obj(val_mae_orig)=2250.5320
[epoch 80] train_loss=1685.6241 val_loss=2243.9516 val_mae_orig=2244.9392 obj(val_mae_orig)=2244.9392
[epoch 81] train_loss=1682.5350 val_loss=2240.5920 val_mae_orig=2241.6912 obj(val_mae_orig)=2241.6912
[epoch 82] train_loss=1676.0554 val_loss=2230.3637 val_mae_orig=2231.5798 obj(val_mae_orig)=2231.5798
[epoch 83] train_loss=1667.9152 val_loss=2236.5186 val_mae_orig=2237.5845 obj(val_mae_orig)=2237.5845
[epoch 84] train_loss=1664.4326 val_loss=2239.8682 val_mae_orig=2240.8235 obj(val_mae_orig)=2240.8235
[epoch 85] train_loss=1665.5745 val_loss=2250.4251 val_mae_orig=2251.4583 obj(val_mae_orig)=2251.4583
[epoch 86] train_loss=1663.1905 val_loss=2241.9041 val_mae_orig=2242.8628 obj(val_mae_orig)=2242.8628
[epoch 87] train_loss=1659.4762 val_loss=2249.3300 val_mae_orig=2250.1714 obj(val_mae_orig)=2250.1714
[epoch 88] train_loss=1655.2896 val_loss=2241.1677 val_mae_orig=2242.0835 obj(val_mae_orig)=2242.0835
[epoch 89] train_loss=1650.8396 val_loss=2239.5535 val_mae_orig=2240.3784 obj(val_mae_orig)=2240.3784
[epoch 90] train_loss=1645.2710 val_loss=2268.9615 val_mae_orig=2269.8521 obj(val_mae_orig)=2269.8521
[epoch 91] train_loss=1648.0884 val_loss=2288.6094 val_mae_orig=2289.2849 obj(val_mae_orig)=2289.2849
[epoch 92] train_loss=1637.1132 val_loss=2254.0088 val_mae_orig=2254.8506 obj(val_mae_orig)=2254.8506
[epoch 93] train_loss=1632.2610 val_loss=2240.5728 val_mae_orig=2241.5591 obj(val_mae_orig)=2241.5591
[epoch 94] train_loss=1631.0527 val_loss=2233.1812 val_mae_orig=2234.2043 obj(val_mae_orig)=2234.2043
[epoch 95] train_loss=1630.6059 val_loss=2248.4084 val_mae_orig=2249.2625 obj(val_mae_orig)=2249.2625
[epoch 96] train_loss=1626.6495 val_loss=2241.8107 val_mae_orig=2242.7759 obj(val_mae_orig)=2242.7759
[epoch 97] train_loss=1629.5917 val_loss=2249.8008 val_mae_orig=2250.7585 obj(val_mae_orig)=2250.7585
[epoch 98] train_loss=1618.6412 val_loss=2234.1261 val_mae_orig=2234.9019 obj(val_mae_orig)=2234.9019
[epoch 99] train_loss=1611.6984 val_loss=2244.1451 val_mae_orig=2244.9370 obj(val_mae_orig)=2244.9370
[epoch 100] train_loss=1621.7038 val_loss=2242.2075 val_mae_orig=2242.9556 obj(val_mae_orig)=2242.9556
[epoch 101] train_loss=1611.2654 val_loss=2236.8751 val_mae_orig=2237.9551 obj(val_mae_orig)=2237.9551
[epoch 102] train_loss=1616.0163 val_loss=2228.9484 val_mae_orig=2230.0000 obj(val_mae_orig)=2230.0000
[epoch 103] train_loss=1606.7005 val_loss=2248.8996 val_mae_orig=2249.8779 obj(val_mae_orig)=2249.8779
[epoch 104] train_loss=1599.8696 val_loss=2224.7008 val_mae_orig=2225.5496 obj(val_mae_orig)=2225.5496
[epoch 105] train_loss=1597.4999 val_loss=2229.1817 val_mae_orig=2230.1799 obj(val_mae_orig)=2230.1799
[epoch 106] train_loss=1601.8075 val_loss=2225.8494 val_mae_orig=2226.6899 obj(val_mae_orig)=2226.6899
[epoch 107] train_loss=1596.1390 val_loss=2258.6300 val_mae_orig=2259.3853 obj(val_mae_orig)=2259.3853
[epoch 108] train_loss=1596.1662 val_loss=2237.9801 val_mae_orig=2238.8057 obj(val_mae_orig)=2238.8057
[epoch 109] train_loss=1593.7402 val_loss=2234.0759 val_mae_orig=2235.1418 obj(val_mae_orig)=2235.1418
[epoch 110] train_loss=1588.6666 val_loss=2245.0577 val_mae_orig=2246.1003 obj(val_mae_orig)=2246.1003
[epoch 111] train_loss=1587.1381 val_loss=2258.6359 val_mae_orig=2259.3247 obj(val_mae_orig)=2259.3247
[epoch 112] train_loss=1584.5263 val_loss=2231.2032 val_mae_orig=2232.0881 obj(val_mae_orig)=2232.0881
[epoch 113] train_loss=1585.4334 val_loss=2232.0166 val_mae_orig=2232.9158 obj(val_mae_orig)=2232.9158
[epoch 114] train_loss=1579.3788 val_loss=2238.9528 val_mae_orig=2239.8306 obj(val_mae_orig)=2239.8306
[epoch 115] train_loss=1578.0051 val_loss=2229.0864 val_mae_orig=2229.9927 obj(val_mae_orig)=2229.9927
[epoch 116] train_loss=1571.1858 val_loss=2237.6384 val_mae_orig=2238.7800 obj(val_mae_orig)=2238.7800
[epoch 117] train_loss=1577.3694 val_loss=2252.5650 val_mae_orig=2253.6401 obj(val_mae_orig)=2253.6401
[epoch 118] train_loss=1569.8278 val_loss=2236.0855 val_mae_orig=2236.9377 obj(val_mae_orig)=2236.9377
[epoch 119] train_loss=1572.5760 val_loss=2243.2939 val_mae_orig=2244.3794 obj(val_mae_orig)=2244.3794
[epoch 120] train_loss=1570.6581 val_loss=2226.0610 val_mae_orig=2227.0427 obj(val_mae_orig)=2227.0427
[epoch 121] train_loss=1561.8886 val_loss=2227.6571 val_mae_orig=2228.4104 obj(val_mae_orig)=2228.4104
[epoch 122] train_loss=1562.3278 val_loss=2232.7908 val_mae_orig=2233.8555 obj(val_mae_orig)=2233.8555
[epoch 123] train_loss=1563.2626 val_loss=2226.3848 val_mae_orig=2227.3247 obj(val_mae_orig)=2227.3247
[epoch 124] train_loss=1559.5907 val_loss=2229.8592 val_mae_orig=2230.9180 obj(val_mae_orig)=2230.9180
[epoch 125] train_loss=1559.0271 val_loss=2226.4748 val_mae_orig=2227.3713 obj(val_mae_orig)=2227.3713
[epoch 126] train_loss=1557.9497 val_loss=2220.4752 val_mae_orig=2221.2795 obj(val_mae_orig)=2221.2795
[epoch 127] train_loss=1557.1933 val_loss=2245.9668 val_mae_orig=2246.9548 obj(val_mae_orig)=2246.9548
[epoch 128] train_loss=1548.9812 val_loss=2235.1584 val_mae_orig=2236.1440 obj(val_mae_orig)=2236.1440
[epoch 129] train_loss=1550.6955 val_loss=2231.3383 val_mae_orig=2232.4919 obj(val_mae_orig)=2232.4919
[epoch 130] train_loss=1555.2494 val_loss=2226.4998 val_mae_orig=2227.5576 obj(val_mae_orig)=2227.5576
[epoch 131] train_loss=1546.2882 val_loss=2226.6951 val_mae_orig=2227.7410 obj(val_mae_orig)=2227.7410
[epoch 132] train_loss=1545.2292 val_loss=2250.8528 val_mae_orig=2251.8684 obj(val_mae_orig)=2251.8684
[epoch 133] train_loss=1546.4734 val_loss=2252.3618 val_mae_orig=2253.4229 obj(val_mae_orig)=2253.4229
[epoch 134] train_loss=1539.7740 val_loss=2215.4706 val_mae_orig=2216.5718 obj(val_mae_orig)=2216.5718
[epoch 135] train_loss=1536.6974 val_loss=2227.3101 val_mae_orig=2227.9890 obj(val_mae_orig)=2227.9890
[epoch 136] train_loss=1534.4852 val_loss=2234.6086 val_mae_orig=2235.5442 obj(val_mae_orig)=2235.5442
[epoch 137] train_loss=1534.4920 val_loss=2232.7043 val_mae_orig=2233.7344 obj(val_mae_orig)=2233.7344
[epoch 138] train_loss=1534.3796 val_loss=2230.3347 val_mae_orig=2231.1853 obj(val_mae_orig)=2231.1853
[epoch 139] train_loss=1534.2057 val_loss=2231.3553 val_mae_orig=2232.3950 obj(val_mae_orig)=2232.3950
[epoch 140] train_loss=1537.5120 val_loss=2229.0743 val_mae_orig=2229.8005 obj(val_mae_orig)=2229.8005
[epoch 141] train_loss=1525.3763 val_loss=2221.5431 val_mae_orig=2222.6167 obj(val_mae_orig)=2222.6167
[epoch 142] train_loss=1531.5510 val_loss=2218.3037 val_mae_orig=2219.2166 obj(val_mae_orig)=2219.2166
[epoch 143] train_loss=1525.3638 val_loss=2233.1218 val_mae_orig=2233.9624 obj(val_mae_orig)=2233.9624
[epoch 144] train_loss=1530.4936 val_loss=2244.2581 val_mae_orig=2245.2583 obj(val_mae_orig)=2245.2583
[epoch 145] train_loss=1523.0283 val_loss=2228.0618 val_mae_orig=2229.1318 obj(val_mae_orig)=2229.1318
[epoch 146] train_loss=1526.5095 val_loss=2211.5980 val_mae_orig=2212.2534 obj(val_mae_orig)=2212.2534
[epoch 147] train_loss=1519.4702 val_loss=2226.7628 val_mae_orig=2227.8145 obj(val_mae_orig)=2227.8145
[epoch 148] train_loss=1519.6245 val_loss=2243.0454 val_mae_orig=2244.1267 obj(val_mae_orig)=2244.1267
[epoch 149] train_loss=1518.6508 val_loss=2237.8736 val_mae_orig=2238.9302 obj(val_mae_orig)=2238.9302
[epoch 150] train_loss=1516.4452 val_loss=2214.2830 val_mae_orig=2215.3401 obj(val_mae_orig)=2215.3401
[epoch 151] train_loss=1514.1831 val_loss=2232.8463 val_mae_orig=2233.9126 obj(val_mae_orig)=2233.9126
[epoch 152] train_loss=1510.6809 val_loss=2227.7405 val_mae_orig=2228.7156 obj(val_mae_orig)=2228.7156
[epoch 153] train_loss=1515.8484 val_loss=2223.3106 val_mae_orig=2224.5461 obj(val_mae_orig)=2224.5461
[epoch 154] train_loss=1510.3360 val_loss=2250.6482 val_mae_orig=2251.5251 obj(val_mae_orig)=2251.5251
[epoch 155] train_loss=1509.7998 val_loss=2222.7901 val_mae_orig=2223.7129 obj(val_mae_orig)=2223.7129
[epoch 156] train_loss=1502.9301 val_loss=2214.8168 val_mae_orig=2215.8428 obj(val_mae_orig)=2215.8428
[epoch 157] train_loss=1511.2064 val_loss=2218.0951 val_mae_orig=2219.0967 obj(val_mae_orig)=2219.0967
[epoch 158] train_loss=1503.6021 val_loss=2220.8396 val_mae_orig=2221.7976 obj(val_mae_orig)=2221.7976
[epoch 159] train_loss=1506.1509 val_loss=2251.3935 val_mae_orig=2252.5188 obj(val_mae_orig)=2252.5188
[epoch 160] train_loss=1502.6846 val_loss=2213.2254 val_mae_orig=2214.2964 obj(val_mae_orig)=2214.2964
[epoch 161] train_loss=1497.8956 val_loss=2213.7012 val_mae_orig=2214.7668 obj(val_mae_orig)=2214.7668
[epoch 162] train_loss=1502.9797 val_loss=2223.0890 val_mae_orig=2224.2239 obj(val_mae_orig)=2224.2239
[epoch 163] train_loss=1498.0245 val_loss=2224.4320 val_mae_orig=2225.5740 obj(val_mae_orig)=2225.5740
[epoch 164] train_loss=1493.1132 val_loss=2219.2038 val_mae_orig=2220.1462 obj(val_mae_orig)=2220.1462
[epoch 165] train_loss=1490.8951 val_loss=2246.6689 val_mae_orig=2247.5498 obj(val_mae_orig)=2247.5498
[epoch 166] train_loss=1493.9739 val_loss=2237.8161 val_mae_orig=2238.9341 obj(val_mae_orig)=2238.9341
[epoch 167] train_loss=1494.2048 val_loss=2217.8076 val_mae_orig=2218.7839 obj(val_mae_orig)=2218.7839
[epoch 168] train_loss=1492.7599 val_loss=2223.4467 val_mae_orig=2224.4448 obj(val_mae_orig)=2224.4448
[epoch 169] train_loss=1488.6641 val_loss=2218.9868 val_mae_orig=2220.3391 obj(val_mae_orig)=2220.3391
[epoch 170] train_loss=1491.7632 val_loss=2256.8645 val_mae_orig=2257.7561 obj(val_mae_orig)=2257.7561
[epoch 171] train_loss=1487.6041 val_loss=2226.0332 val_mae_orig=2226.9624 obj(val_mae_orig)=2226.9624
[epoch 172] train_loss=1485.0843 val_loss=2232.2010 val_mae_orig=2233.0349 obj(val_mae_orig)=2233.0349
[epoch 173] train_loss=1489.3406 val_loss=2229.4676 val_mae_orig=2230.3938 obj(val_mae_orig)=2230.3938
[epoch 174] train_loss=1486.7534 val_loss=2214.7949 val_mae_orig=2215.5962 obj(val_mae_orig)=2215.5962
[epoch 175] train_loss=1482.8278 val_loss=2208.2614 val_mae_orig=2209.3462 obj(val_mae_orig)=2209.3462
[epoch 176] train_loss=1482.6483 val_loss=2223.6477 val_mae_orig=2224.7922 obj(val_mae_orig)=2224.7922
[epoch 177] train_loss=1475.4354 val_loss=2235.7729 val_mae_orig=2236.8635 obj(val_mae_orig)=2236.8635
[epoch 178] train_loss=1480.3475 val_loss=2210.8727 val_mae_orig=2211.9878 obj(val_mae_orig)=2211.9878
[epoch 179] train_loss=1480.8569 val_loss=2232.0054 val_mae_orig=2232.9126 obj(val_mae_orig)=2232.9126
[epoch 180] train_loss=1479.6701 val_loss=2226.4344 val_mae_orig=2227.3811 obj(val_mae_orig)=2227.3811
[epoch 181] train_loss=1476.7431 val_loss=2222.3757 val_mae_orig=2223.4089 obj(val_mae_orig)=2223.4089
[epoch 182] train_loss=1477.3868 val_loss=2211.6447 val_mae_orig=2212.6484 obj(val_mae_orig)=2212.6484
[epoch 183] train_loss=1473.8335 val_loss=2209.4515 val_mae_orig=2210.5684 obj(val_mae_orig)=2210.5684
[epoch 184] train_loss=1474.7590 val_loss=2207.5374 val_mae_orig=2208.5068 obj(val_mae_orig)=2208.5068
[epoch 185] train_loss=1471.5411 val_loss=2198.4803 val_mae_orig=2199.5889 obj(val_mae_orig)=2199.5889
[epoch 186] train_loss=1472.2638 val_loss=2214.2355 val_mae_orig=2215.4568 obj(val_mae_orig)=2215.4568
[epoch 187] train_loss=1469.5620 val_loss=2226.0513 val_mae_orig=2226.9844 obj(val_mae_orig)=2226.9844
[epoch 188] train_loss=1466.6608 val_loss=2215.7557 val_mae_orig=2216.8088 obj(val_mae_orig)=2216.8088
[epoch 189] train_loss=1466.3040 val_loss=2206.9352 val_mae_orig=2208.0869 obj(val_mae_orig)=2208.0869
[epoch 190] train_loss=1465.0925 val_loss=2211.1316 val_mae_orig=2212.0098 obj(val_mae_orig)=2212.0098
[epoch 191] train_loss=1466.7043 val_loss=2205.2403 val_mae_orig=2206.2986 obj(val_mae_orig)=2206.2986
[epoch 192] train_loss=1463.2479 val_loss=2209.2776 val_mae_orig=2210.3281 obj(val_mae_orig)=2210.3281
[epoch 193] train_loss=1463.9620 val_loss=2206.5019 val_mae_orig=2207.6094 obj(val_mae_orig)=2207.6094
[epoch 194] train_loss=1466.9933 val_loss=2208.5542 val_mae_orig=2209.6372 obj(val_mae_orig)=2209.6372
[epoch 195] train_loss=1456.8765 val_loss=2212.0931 val_mae_orig=2213.1208 obj(val_mae_orig)=2213.1208
[epoch 196] train_loss=1461.8184 val_loss=2224.0335 val_mae_orig=2225.1426 obj(val_mae_orig)=2225.1426
[epoch 197] train_loss=1459.8478 val_loss=2201.6937 val_mae_orig=2202.8403 obj(val_mae_orig)=2202.8403
[epoch 198] train_loss=1455.8790 val_loss=2203.0213 val_mae_orig=2203.8574 obj(val_mae_orig)=2203.8574
[epoch 199] train_loss=1459.1784 val_loss=2212.8700 val_mae_orig=2214.0010 obj(val_mae_orig)=2214.0010
[epoch 200] train_loss=1458.6352 val_loss=2204.3043 val_mae_orig=2205.3735 obj(val_mae_orig)=2205.3735
[eval-after-train] Saved train predictions to: outputs/evals/base_point_s3_20251122-210436_284574/train_preds.csv
[eval-after-train] Saved val predictions to: outputs/evals/base_point_s3_20251122-210436_284574/val_preds.csv
[eval-after-train] Saved test predictions to: outputs/evals/base_point_s3_20251122-210436_284574/test_preds.csv
